presc_id,drug_brand_name,total_claims,total_drug_cost
989,Zenmox709,45,5409.62
1181,Arotril943,25,3046.94
1181,Heallax1,98,2238.08
685,Neovex829,90,16427.43
247,Lifefer681,198,11516.25
24,Neovex829,163,26085.73
625,Neomox429,135,2555.47
307,Apexvex997,84,8559.26
104,Neocin844,173,26237.49
913,Curelax332,193,24974.87
455,Neovex307,111,7353.65
271,Curemox588,87,2394.08
101,Healvir890,141,11202.85
1028,Vitatril45,112,16516.17
277,Apexcin306,124,15085.37
1171,Mediprofen276,51,7132.04
1074,Cureprofen611,64,3514.38
881,Sanistat774,83,12474.92
231,Swasthprofen900,172,15381.83
391,Mediprofen228,83,6868.32
625,Arovex70,44,9434.83
906,Mediprofen228,160,5510.82
479,Swasthcillin531,52,6903.43
176,Neofer82,29,4246.86
303,Neozym303,74,1033.99
228,Zendol82,79,6842.38
429,Vitastat769,190,20493.43
1072,Wellstat916,193,11927.61
290,Biofer988,178,23010.9
1194,Healvir166,170,18278.36
124,Curefer387,73,3896.5
556,Curezide690,14,1629.51
137,Medivex259,100,14886.82
738,Neomox429,28,442.62
792,Vitastat241,60,12388.28
204,Healfer291,81,8923.29
181,Biovex34,48,2729.64
1149,Apexprofen369,183,2510.71
1085,Meditril562,79,5901.34
322,Vitastat680,5,381.56
620,Biomox375,61,14506.22
565,Sanivirin963,16,2399.83
61,Curezym407,143,26337.68
700,Mediprofen276,101,12613.51
783,Neocillin458,134,27957.12
466,Welllax523,107,5633.84
640,Ashacin515,155,11952.31
424,Apexvex303,168,6484.25
415,Curevir658,36,2749.45
1073,Biomox294,35,3764.28
298,Medistat835,168,36972.43
651,Carecillin874,18,2471.16
243,Sanivir204,48,3929.87
61,Saniprofen728,196,16481.07
843,Sanilax547,78,8668.44
561,Medistat835,39,5744.29
379,Vitalax980,7,1174.68
547,Curecin762,156,17802.8
476,Biomox639,60,8501.73
977,Apexvir49,35,3990.91
766,Medimox688,48,8642.82
282,Arozide668,42,1784.96
31,Curedol414,70,12894.37
416,Healstat994,194,9035.76
900,Ashavex93,158,16246.86
938,Zencillin529,64,6614.88
780,Neovir499,185,13920.56
1172,Swasthprofen900,153,18698.0
79,Curestat83,134,4276.04
87,Arozide106,63,6966.64
81,Zenvirin547,143,13504.42
101,Healdol155,49,3263.02
624,Wellcin885,199,34560.53
866,Swasthcillin239,76,8809.61
1059,Ashastat75,37,3969.47
186,Mediprofen276,185,18552.17
1199,Welldol776,179,20738.4
663,Healvirin466,116,1770.77
414,Vitazym137,117,3165.88
336,Lifemox165,184,25479.01
921,Neomox211,163,13605.84
787,Healstat994,187,31580.34
328,Lifestat970,97,10147.96
350,Wellvex571,86,11088.52
308,Arotril124,42,7012.43
106,Swasthdol436,108,8282.57
914,Vitafer340,74,8929.85
270,Swasthzide551,52,626.83
26,Vitatril675,118,12948.63
12,Ashavex126,156,26929.42
975,Healstat20,117,9503.97
14,Curezym614,63,11004.18
1142,Neocin763,54,984.06
715,Heallax258,10,342.25
1184,Curezide690,155,12159.98
101,Bioprofen599,28,2381.98
583,Swasthmox590,157,23625.79
1173,Ashavirin771,144,6524.57
1186,Neovir499,93,16136.14
613,Welllax523,83,6733.22
139,Ashavex496,195,18940.71
600,Medivirin288,121,4769.61
563,Meditril764,85,9899.22
429,Apexlax758,157,3541.7
1084,Sanistat981,23,2593.43
589,Arozide668,110,13754.99
1077,Lifefer681,148,29641.44
266,Swasthprofen900,158,19502.99
1020,Curezym695,127,24195.11
477,Vitafer340,182,11367.53
243,Medizide674,7,783.98
425,Aroprofen694,158,32333.96
684,Carecillin874,90,11439.7
24,Vitavir585,164,7786.31
139,Healvir641,79,5641.57
13,Medivir39,30,4219.4
1166,Apexlax435,158,34951.2
398,Sanizide444,85,16845.73
982,Sanizym356,122,21546.19
987,Welltril920,40,6032.76
1100,Mediprofen671,86,9630.88
115,Healcillin124,134,10014.15
647,Aromox189,143,15390.04
680,Sanizide849,91,1941.38
64,Meditril197,87,18635.79
340,Arolax37,147,17581.8
240,Zenvirin646,193,15317.1
65,Wellvirin889,70,6509.21
487,Sanistat882,96,10907.29
443,Healcin727,135,8500.56
77,Lifeprofen876,200,8980.68
1037,Vitazym788,7,1326.95
316,Lifevirin270,49,3821.17
1073,Sanicin62,80,11870.44
202,Vitazym788,133,17321.4
75,Meditril676,118,11443.39
238,Curevir803,2,126.18
179,Curecillin536,86,7757.38
1067,Apexfer761,197,26469.15
1183,Zenmox709,195,15780.54
658,Arozym292,52,2381.16
654,Healzym92,198,17372.89
306,Carezym249,41,2299.1
